Date,Total Share Volume,Total Value,Market Capitalization,Close,Change,% Change,Order Matching Volume,Order Matching Value
08/30/2024,734,380,14799040,515000,-13900,-2.63,734,380
08/29/2024,796,422,15287552,532000,10200,1.95,796,422
08/28/2024,1330,694,15086400,525000,5000,0.96,1330,694
08/27/2024,101,53,14942720,520000,0,0,101,53
08/26/2024,111,58,14942720,520000,-300,-0.06,111,58
08/23/2024,2,1,14951341,521000,700,0.13,2,1
08/22/2024,418,218,14971456,521000,-3300,-0.63,418,218
08/21/2024,354,185,15086400,525000,5000,0.96,354,185
08/20/2024,413,215,14942720,520000,-7000,-1.33,413,215
08/19/2024,302,159,15143872,527000,1100,0.27,302,159
08/16/2024,900,473,15230080,530000,22500,4.43,900,473
08/15/2024,683,348,14655360,510000,-2200,-0.43,683,348
08/14/2024,556,285,14712832,512000,-4900,-0.95,556,285
08/13/2024,4,2,14853638,520000,3100,0.6,4,2
08/12/2024,724,374,14942720,520000,3000,0.58,724,374
08/09/2024,306,158,14942720,512000,4400,0.87,306,158
08/08/2024,48,25,14813408,512000,-3500,-0.68,48,25
08/07/2024,2163,1116,14712832,520000,-12100,-2.31,2163,1116
08/06/2024,1271,667,14942720,520000,-12100,-2.27,1271,667
08/05/2024,5621,2993,14885424,518000,-25400,-4.66,5621,2993
08/02/2024,1622,882,15477720,538000,25800,4.61,1622,882
08/01/2024,1157,628,15804800,550000,-11000,-1.96,1157,628
